pitch,yaw,tick,steamid
-0.9928894,56.896484,1949,76561199847502271
-0.9928894,56.896484,1951,76561199847502271
-0.9928894,56.896484,1951,76561199847502271
-0.9928894,56.896484,1953,76561199847502271
-0.9928894,56.896484,1954,76561199847502271
-0.9928894,56.896484,1955,76561199847502271
-0.9928894,56.896484,1955,76561199847502271
-0.9928894,56.896484,1957,76561199847502271
-0.9928894,56.896484,1957,76561199847502271
-0.9928894,56.896484,1959,76561199847502271
-0.9928894,56.896484,1959,76561199847502271
-0.9928894,56.896484,1961,76561199847502271
-0.9928894,56.896484,1961,76561199847502271
-0.9928894,56.896484,1962,76561199847502271
-0.9928894,56.896484,1964,76561199847502271
-0.9928894,56.896484,1964,76561199847502271
-0.9928894,56.896484,1966,76561199847502271
-0.9928894,56.896484,1966,76561199847502271
-0.9928894,56.896484,1968,76561199847502271
-0.9928894,56.896484,1968,76561199847502271
-0.9928894,56.896484,1970,76561199847502271
-0.9928894,56.896484,1970,76561199847502271
-0.9928894,56.896484,1972,76561199847502271
-0.9928894,56.896484,1972,76561199847502271
-0.9928894,56.896484,1974,76561199847502271
-0.9928894,56.896484,1974,76561199847502271
-0.9928894,56.896484,1976,76561199847502271
-0.9928894,56.896484,1977,76561199847502271
-0.9928894,56.896484,1978,76561199847502271
-0.9928894,56.896484,1978,76561199847502271
-0.9928894,56.896484,1980,76561199847502271
-0.9928894,56.896484,1981,76561199847502271
-0.9928894,56.896484,1981,76561199847502271
-0.9928894,56.896484,1983,76561199847502271
-0.9928894,56.896484,1983,76561199847502271
-0.9928894,56.896484,1985,76561199847502271
-0.9928894,56.896484,1986,76561199847502271
-0.9928894,56.896484,1986,76561199847502271
-0.9928894,56.896484,1988,76561199847502271
-0.9928894,56.896484,1988,76561199847502271
-0.9928894,56.896484,1990,76561199847502271
-0.9928894,56.896484,1990,76561199847502271
-0.9928894,56.896484,1992,76561199847502271
-0.9928894,56.896484,1992,76561199847502271
-0.9928894,56.896484,1994,76561199847502271
-0.9928894,56.896484,1994,76561199847502271
-0.9928894,56.896484,1996,76561199847502271
-0.9928894,56.896484,1996,76561199847502271
-0.9928894,56.896484,1998,76561199847502271
-0.9928894,56.896484,1998,76561199847502271
-0.9928894,56.896484,2000,76561199847502271
-0.9928894,56.896484,2000,76561199847502271
-0.9928894,56.896484,2002,76561199847502271
-0.9928894,56.896484,2002,76561199847502271
-0.9928894,56.896484,2004,76561199847502271
-0.9928894,56.896484,2004,76561199847502271
-0.9928894,56.896484,2006,76561199847502271
-0.9928894,56.896484,2006,76561199847502271
-0.9928894,56.896484,2008,76561199847502271
-0.9928894,56.896484,2008,76561199847502271
-0.9928894,56.896484,2009,76561199847502271
-0.9928894,56.896484,2011,76561199847502271
-0.9928894,56.896484,2011,76561199847502271
-0.9928894,56.896484,2013,76561199847502271
-0.9928894,56.896484,2013,76561199847502271
-0.9928894,56.896484,2015,76561199847502271
-0.9928894,56.896484,2015,76561199847502271
-0.9928894,56.896484,2016,76561199847502271
-0.9928894,56.896484,2017,76561199847502271
-0.9928894,56.896484,2019,76561199847502271
-0.9928894,56.896484,2019,76561199847502271
-0.9928894,56.896484,2021,76561199847502271
-0.9928894,56.896484,2022,76561199847502271
-0.9928894,56.896484,2022,76561199847502271
-0.9928894,56.896484,2024,76561199847502271
-0.9928894,56.896484,2024,76561199847502271
-0.9928894,56.896484,2025,76561199847502271
-0.9928894,56.896484,2027,76561199847502271
-0.9928894,56.896484,2027,76561199847502271
-0.9928894,56.896484,2029,76561199847502271
-0.9928894,56.896484,2030,76561199847502271
-0.9928894,56.896484,2031,76561199847502271
-0.9928894,56.896484,2031,76561199847502271
-0.9928894,56.896484,2032,76561199847502271
-0.9928894,56.896484,2034,76561199847502271
-0.9928894,56.896484,2034,76561199847502271
-0.9928894,56.896484,2035,76561199847502271
-0.9928894,56.896484,2037,76561199847502271
-0.9928894,56.896484,2037,76561199847502271
-0.9928894,56.896484,2039,76561199847502271
-0.9928894,56.896484,2039,76561199847502271
-0.9928894,56.896484,2040,76561199847502271
-0.9928894,56.896484,2042,76561199847502271
-0.9928894,56.896484,2042,76561199847502271
-0.9928894,56.896484,2044,76561199847502271
-0.9928894,56.896484,2044,76561199847502271
-0.9928894,56.896484,2046,76561199847502271
-0.9928894,56.896484,2047,76561199847502271
-0.9928894,56.896484,2047,76561199847502271
-0.9928894,56.896484,2049,76561199847502271
-0.9928894,56.896484,2049,76561199847502271
-0.9928894,56.896484,2051,76561199847502271
-0.9928894,56.896484,2051,76561199847502271
-0.9928894,56.896484,2052,76561199847502271
-0.9928894,56.896484,2054,76561199847502271
-0.9928894,56.896484,2054,76561199847502271
-0.9928894,56.896484,2056,76561199847502271
-0.9928894,56.896484,2056,76561199847502271
-0.9928894,56.896484,2058,76561199847502271
-0.9928894,56.896484,2058,76561199847502271
-0.9928894,56.896484,2060,76561199847502271
-0.9928894,56.896484,2060,76561199847502271
-0.9928894,56.896484,2062,76561199847502271
-0.9928894,56.896484,2063,76561199847502271
-0.9928894,56.896484,2063,76561199847502271
-0.9928894,56.896484,2065,76561199847502271
-0.9928894,56.896484,2065,76561199847502271
-0.9928894,56.896484,2067,76561199847502271
-0.9928894,56.896484,2067,76561199847502271
-0.9928894,56.896484,2069,76561199847502271
-0.9928894,56.896484,2070,76561199847502271
-0.9928894,56.896484,2070,76561199847502271
-0.9928894,56.896484,2072,76561199847502271
-0.9928894,56.896484,2073,76561199847502271
-0.9928894,56.896484,2073,76561199847502271
-0.9928894,56.896484,2075,76561199847502271
-0.9928894,56.896484,2075,76561199847502271
-0.9928894,56.896484,2077,76561199847502271
-0.9928894,56.896484,2077,76561199847502271
-0.9928894,56.896484,2078,76561199847502271
-0.9928894,56.896484,2080,76561199847502271
-0.9928894,56.896484,2081,76561199847502271
-0.9928894,56.896484,2081,76561199847502271
-0.9928894,56.896484,2083,76561199847502271
-0.9928894,56.896484,2083,76561199847502271
-0.9928894,56.896484,2084,76561199847502271
-0.9928894,56.896484,2086,76561199847502271
-0.9928894,56.896484,2086,76561199847502271
-0.9928894,56.896484,2088,76561199847502271
-0.9928894,56.896484,2088,76561199847502271
-0.9928894,56.896484,2089,76561199847502271
-0.9928894,56.896484,2090,76561199847502271
-0.9928894,56.896484,2092,76561199847502271
-0.9928894,56.896484,2092,76561199847502271
-0.9928894,56.896484,2093,76561199847502271
-0.9928894,56.896484,2094,76561199847502271
-0.9928894,56.896484,2096,76561199847502271
-0.9928894,56.896484,2096,76561199847502271
-0.9928894,56.896484,2098,76561199847502271
-0.9928894,56.896484,2098,76561199847502271
-0.9928894,56.896484,2100,76561199847502271
-0.9928894,56.896484,2100,76561199847502271
-0.9928894,56.896484,2102,76561199847502271
-0.9928894,56.896484,2102,76561199847502271
-0.9928894,56.896484,2104,76561199847502271
-0.9928894,56.896484,2104,76561199847502271
-0.9928894,56.896484,2105,76561199847502271
-0.9928894,56.896484,2107,76561199847502271
-0.9928894,56.896484,2108,76561199847502271
